Decimal Year,STemperature °C,Salinity,DTemperature °C,DSalinity
2010.5417,13.295,30.566,7.024,35.18
2010.625,17.019,29.943,7.16,35.181
2010.7083,15.121,31.814,7.421,35.212
2010.7917,12.71,32.072,8.091,35.292
2010.875,9.555,33.121,7.749,35.202
2010.9583,4.528,32.2,7.111,34.894
2011.0417,1.678,30.912,5.585,34.761
2011.125,4.045,33.101,6.716,35.188
2011.2083,3.218,30.317,5.2,34.994
2011.2917,5.833,30.424,5.997,35.126
2011.375,,,,
2011.4583,12.368,30.459,6.917,35.191
2011.5417,14.64,31.247,7.308,35.227
2011.625,17.407,29.751,7.529,35.131
2011.7083,,,,
2011.7917,,,,
2011.875,10.101,33.46,8.012,35.23
2011.9583,,,,
2012.0417,6.282,32.845,8.05,35.153
2012.125,4.204,32.506,6.385,34.918
2012.2083,,,,
2012.2917,6.25,31.233,6.639,35.089
2012.375,7.808,32.16,7.284,35.231
2012.4583,11.779,28.664,7.321,35.167
2012.5417,14.671,27.385,7.609,35.142
2012.625,17.38,28.26,7.826,35.24
2012.7083,14.904,29.781,8.069,35.196
2012.7917,12.934,31.85,8.485,35.129
2012.875,,,,
2012.9583,6.239,32.667,8.949,34.984
2013.0417,3.792,31.972,,
2013.125,3.714,32.006,6.106,35.039
2013.2083,3.029,30.792,6.875,35.156
2013.2917,4.07,26.28,6.084,35.185
2013.375,7.082,28.9,5.894,35.179
2013.4583,11.493,30.924,6.181,35.167
2013.5417,14.376,29.765,6.162,35.084
2013.625,16.43,31.451,6.761,35.177
2013.7083,16.511,31.939,7.086,35.178
2013.7917,13.187,31.898,7.604,35.237
2013.875,,,,
2013.9583,7.911,32.862,8.45,34.689
2014.0417,,,,
2014.125,4.586,31.884,7.763,35.022
2014.2083,4.897,29.239,6.594,34.919
2014.2917,7.883,31.146,6.973,35.111
2014.375,9.093,32.543,6.998,35.072
2014.4583,16.276,26.894,7.252,35.107
2014.5417,15.246,29.137,7.822,35.099
2014.625,18.231,30.671,8.503,34.996
2014.7083,16.313,32.333,7.617,35.127
